id;stripe_id;stripe_email;customer_id;customer_name;migrate_at;updated_at
1;HDD;Group Ergonomic Industrial;Division Plastic District;Street payment lavender;2020-11-13;2020-11-13
2;Incredible Concrete Ball;Wooden best-of-breed;Supervisor;Moldovan Leu;2020-11-12;2020-11-12
3;synergies teal;Bacon Integrated zero tolerance;card Analyst Legacy;Soft web-enabled synergies;2020-11-12;2020-11-12
4;productize innovate;JSON;Fantastic Metal Bike optical;streamline bleeding-edge;2020-11-13;2020-11-13
5;withdrawal Games New Leu;Rand Loti Senior;B2C bluetooth;Product core;2020-11-13;2020-11-13
6;Regional;Route grey card;deposit;West Virginia extend Kenyan Shilling;2020-11-13;2020-11-13
7;invoice transmitting;CSS bleeding-edge;back up Georgia;Front-line Factors Forward;2020-11-13;2020-11-12
8;Auto Loan Account;Optimization collaborative Kids;Credit Card Account empower Movies;synthesize;2020-11-13;2020-11-12
9;parse;invoice frictionless archive;deposit Optimization Handcrafted;Pants Senior;2020-11-13;2020-11-12
10;turn-key vortals;Arizona AGP Legacy;Credit Card Account JSON Tanzanian Shilling;wireless;2020-11-12;2020-11-13
