id;customer_id;customer_name;customer_email;year;month;period_start;period_end;created;send;due_date;amount_due;total;tax;total_discount_amounts;total_tax_amounts;url;pdf_url
1;e-business collaboration;disintermediate Maryland;Concrete Engineer;72839;15999;2021-03-16T22:49:32;2021-03-16T16:01:29;2021-03-16T20:14:15;2021-03-16T23:46:25;2021-03-16T12:34:09;73822;67406;52331;93654;52018;http://bianka.org;Delaware moderator
2;Analyst productivity Human;Berkshire Senior background;Customer-focused;56891;26311;2021-03-16T18:17:34;2021-03-16T14:14:14;2021-03-17T04:59:13;2021-03-16T10:33:43;2021-03-16T20:34:48;82585;28889;47700;57479;14003;https://donato.biz;maroon
3;software;Fantastic Rubber Car COM Orchestrator;efficient Administrator;16747;6393;2021-03-16T09:23:00;2021-03-16T17:37:01;2021-03-16T13:05:01;2021-03-17T00:33:17;2021-03-16T20:47:52;32791;74441;14330;47242;7555;https://ella.net;Chief
4;Personal Loan Account next-generation Handmade;Security;Ergonomic Soft Chips purple Unbranded;67802;33893;2021-03-16T11:52:01;2021-03-16T09:39:47;2021-03-17T03:30:59;2021-03-16T16:34:39;2021-03-16T14:06:32;4924;14876;68891;20280;30145;http://rigoberto.org;Cambridgeshire
5;Cambridgeshire;facilitate;Quality-focused Bahamas Industrial;66022;69160;2021-03-16T16:14:13;2021-03-16T16:13:17;2021-03-17T04:52:04;2021-03-16T10:36:28;2021-03-17T06:16:35;52562;96521;6130;83241;44919;https://sunny.name;Texas
6;array drive;productivity Gorgeous benchmark;Washington deliver;44931;33919;2021-03-16T08:07:02;2021-03-17T00:33:20;2021-03-16T21:01:01;2021-03-17T02:49:19;2021-03-16T12:42:45;37026;43383;39684;46187;33279;https://lauryn.com;standardization e-markets Rustic
7;efficient;convergence Georgia;virtual schemas haptic;78157;2963;2021-03-17T03:19:33;2021-03-16T15:12:48;2021-03-16T16:37:38;2021-03-17T02:36:55;2021-03-16T09:21:49;93077;59756;43021;86443;54171;http://dayna.name;THX object-oriented
8;New Zealand Dollar Plastic;withdrawal Gorgeous Wooden Shirt;Mouse Nicaragua;64062;13239;2021-03-16T13:05:38;2021-03-16T11:31:20;2021-03-16T12:36:45;2021-03-16T21:45:16;2021-03-17T06:42:15;93309;51628;77644;99639;30174;http://roberta.name;capacitor
9;Industrial connecting;transmitting;Pants bypassing solid state;53548;78295;2021-03-17T06:48:06;2021-03-17T00:52:42;2021-03-17T05:47:54;2021-03-17T00:54:38;2021-03-17T04:06:00;35964;86502;97491;77339;90646;https://bret.net;Frozen full-range Extended
10;open-source Future-proofed;Refined Granite Shirt lime;target;18218;87407;2021-03-17T03:11:10;2021-03-17T02:10:17;2021-03-16T08:18:52;2021-03-16T09:16:42;2021-03-17T02:42:18;31345;66572;33525;66497;8114;https://shane.name;Indian Rupee
